,Assay,Weighted Partial Correlation
qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library,0.573004553478921
qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library - cell viability counter screen,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library - cell viability counter screen,0.09540952190409446
qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,0.28825138049464794
qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway,qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway,0.14324787673480754
qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway - cell viability counter screen,0.32000405522542613
qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the farnesoid-X-receptor (FXR) signaling pathway: Summary,0.31845968433897087
qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway,qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway,0.3075271494403588
qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway - cell viability counter screen,0.10126206509362716
qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the glucocorticoid receptor (GR) signaling pathway: Summary,0.6736132509229089
qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway,0.721958252689788
qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway - cell viability counter screen,-0.0
qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor delta (PPARd) signaling pathway: Summary,0.04915415731126125
qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway - cell viability counter screen,0.12935089324658136
qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary,0.723742555104383
qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway,qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway,0.7124047554021973
qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the progesterone receptor (PR) signaling pathway - cell viability counter screen,0.4433849464053553
qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway ,qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway ,0.5306169495383286
qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the retinoic acid receptor (RAR) signaling pathway: Summary,0.49737833370227064
qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway ,qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway ,0.46504982357365227
qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway - cell viability counter screen,-0.0
qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the retinoid-related orphan receptor gamma (ROR-gamma) signaling pathway: Summary,0.44358955039064374
qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway,0.9676899029691125
qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway - cell viability counter screen,0.43638255248343866
qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,qHTS assay to identify small molecule antagonists of the sonic hedgehog signaling (Shh) pathway: Summary,0.04977291308968256
qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway,0.776013208812599
qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway - cell viability counter screen,0.10794719120462948
qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary,0.749946816549897
qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway,qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway,-0.0
qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary,qHTS assay to identify small molecule antagonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary,0.31511812723740756
qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway - cell viability counter screen,-0.0
qHTS assay to identify small molecule inhibitors of chordoma cells - UCH,qHTS assay to identify small molecule inhibitors of chordoma cells - UCH,0.08341818300999619
qHTS assay to identify small molecule inhibitors of firefly luciferase,qHTS assay to identify small molecule inhibitors of firefly luciferase,0.851102909952573
qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway,0.20662629940059574
qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway - cell viability counter screen,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway - cell viability counter screen,0.08709610207553158
qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway: Summary,0.3806294141652968
qHTS for Agonists of Human Resolvin D1 Receptor DRV1,qHTS for Agonists of Human Resolvin D1 Receptor DRV1,-0.0
qHTS for Inhibitors of Inflammasome Signaling:  IL-beta AlphaLISA Primary Screen,qHTS for Inhibitors of Inflammasome Signaling:  IL-beta AlphaLISA Primary Screen,0.11580976479164537
qHTS for Inhibitors of PLK1-PDB (polo-like kinase 1 - polo-box domain): Primary Screen,qHTS for Inhibitors of PLK1-PDB (polo-like kinase 1 - polo-box domain): Primary Screen,0.1728389101850775
qHTS for Inhibitors of Polymerase Eta,qHTS for Inhibitors of Polymerase Eta,0.1558454644076845
qHTS for Inhibitors of Polymerase Iota,qHTS for Inhibitors of Polymerase Iota,-0.0
qHTS for Inhibitors of Polymerase Kappa,qHTS for Inhibitors of Polymerase Kappa,0.057748732885443924
qHTS for Inhibitors of TGF-b,qHTS for Inhibitors of TGF-b,0.08148737098450148
qHTS for Inhibitors of TGF-b: Cytotox Counterscreen,qHTS for Inhibitors of TGF-b: Cytotox Counterscreen,0.29512182864804953
"qHTS for Inhibitors of Tau Fibril Formation, Thioflavin T Binding","qHTS for Inhibitors of Tau Fibril Formation, Thioflavin T Binding",0.0636789702854192
qHTS for Inhibitors of binding or entry into cells for Lassa Virus,qHTS for Inhibitors of binding or entry into cells for Lassa Virus,0.23529637383411364
qHTS for Inhibitors of binding or entry into cells for Marburg Virus,qHTS for Inhibitors of binding or entry into cells for Marburg Virus,0.5149570992291679
qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT,qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT,0.17682956722735393
qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT,qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in presence of CPT,0.10437472924525723
qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lassa (LASV) Arenavirus: Viability assay - alamar blue signal for LASV Primary Screen,qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lassa (LASV) Arenavirus: Viability assay - alamar blue signal for LASV Primary Screen,0.3761812609260607
qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lymphocytic Choriomeningitis Arenaviruses (LCMV): LCMV Primary Screen - GLuc reporter signal,qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lymphocytic Choriomeningitis Arenaviruses (LCMV): LCMV Primary Screen - GLuc reporter signal,0.4091019587893792
qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lymphocytic Choriomeningitis Arenaviruses (LCMV): Viability assay - alamar blue signal for LCMV Primary Screen,qHTS for Inhibitors of the Functional Ribonucleoprotein Complex (vRNP) of Lymphocytic Choriomeningitis Arenaviruses (LCMV): Viability assay - alamar blue signal for LCMV Primary Screen,-0.0
qHTS for induction of synthetic lethality in tumor cells producing 2HG: qHTS for the HT080-IDH1KD cell line,qHTS for induction of synthetic lethality in tumor cells producing 2HG: qHTS for the HT080-IDH1KD cell line,0.2869661228576434
qHTS for induction of synthetic lethality in tumor cells producing 2HG: qHTS for the HT080-NT fibrosarcoma cell line,qHTS for induction of synthetic lethality in tumor cells producing 2HG: qHTS for the HT080-NT fibrosarcoma cell line,0.0665231074114348
qHTS for inhibitors of ROR gamma transcriptional activity,qHTS for inhibitors of ROR gamma transcriptional activity,0.11145495287187064
qHTS of D3 Dopamine Receptor Agonist: qHTS,qHTS of D3 Dopamine Receptor Agonist: qHTS,1.0
qHTS of D3 Dopamine Receptor Antagonist: qHTS,qHTS of D3 Dopamine Receptor Antagonist: qHTS,0.11454076954457659
qHTS of D3 Dopamine Receptor Potentiators: qHTS,qHTS of D3 Dopamine Receptor Potentiators: qHTS,1.0
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for A673 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for A673 cells,0.16089914567932717
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for BT2 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for BT2 cells,0.31541392527719236
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for BT-37 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for BT-37 cells,0.13745051002064396
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for DAOY cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for DAOY cells,0.5679125960275436
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for LAN-5 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for LAN-5 cells,0.022437884555520142
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for MG 63 (6-TG R) cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for MG 63 (6-TG R) cells,0.02534598969837178
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for NB-EBc1 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for NB-EBc1 cells,-0.0
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for NB1643 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for NB1643 cells,-0.0
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for OHS-50 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for OHS-50 cells,0.2140391737088597
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for RD cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for RD cells,-0.0
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Rh18 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Rh18 cells,0.029690593796019335
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Rh41 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Rh41 cells,0.06579703127023892
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SJ-GBM2 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SJ-GBM2 cells,0.023182380818389345
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SK-N-MC cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SK-N-MC cells,0.31055336441896253
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SK-N-SH cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for SK-N-SH cells,0.0965383226649698
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Saos-2 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for Saos-2 cells,0.3806382563791294
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for TC32 cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for TC32 cells,-0.0
qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for U-2 OS cells,qHTS of pediatric cancer cell lines to identify multiple opportunities for drug repurposing: Primary screen for U-2 OS cells,0.16422887013539078
qHTS profiling assay for firefly luciferase inhibitor/activator using purifed enzyme and Km concentrations of substrates (counterscreen for miR-21 project),qHTS profiling assay for firefly luciferase inhibitor/activator using purifed enzyme and Km concentrations of substrates (counterscreen for miR-21 project),0.24418370686863639
qHTS profiling for inhibitors of Plasmodium falciparum proliferation,qHTS profiling for inhibitors of Plasmodium falciparum proliferation,0.2952380782521335
uHTS Fluorescent assay for identification of inhibitors of Apaf,uHTS Fluorescent assay for identification of inhibitors of Apaf,0.08432359157743595
uHTS for identification of Inhibitors of Mdm2/MdmX interaction in luminescent format.,uHTS for identification of Inhibitors of Mdm2/MdmX interaction in luminescent format.,0.021436325215535804
uHTS identification of cystic fibrosis induced NFkb Inhibitors in a fluoresence assay,uHTS identification of cystic fibrosis induced NFkb Inhibitors in a fluoresence assay,0.24554751962846172
uHTS identification of small molecule inhibitors of the mitochondrial permeability transition pore via an absorbance assay,uHTS identification of small molecule inhibitors of the mitochondrial permeability transition pore via an absorbance assay,0.06747792896955676
A qHTS for Small Molecule Inhibitors of Shiga Toxin,A qHTS for Small Molecule Inhibitors of Shiga Toxin,0.14397378959838902
Agonist activity at human ADRA1A in an in vitro cell-based assay (NIBR assay) measured by fluorescent imaging plate reader,Agonist activity at human ADRA1A in an in vitro cell-based assay (NIBR assay) measured by fluorescent imaging plate reader,0.0
Agonist activity at human ADRA2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,Agonist activity at human ADRA2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Agonist activity at human DRD1 in an in vitro cell-based assay measured by time-resolved fluorescence resonance energy transfer method,Agonist activity at human DRD1 in an in vitro cell-based assay measured by time-resolved fluorescence resonance energy transfer method,0.0
Agonist activity at human HTR1A in an in vitro cell-based assay measured by fluorescent imaging plate reader,Agonist activity at human HTR1A in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Agonist activity at human NR1I2 in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,Agonist activity at human NR1I2 in an in vitro cell free assay measured by time-resolved fluorescence resonance energy transfer method,0.0
AlphaScreen-based biochemical high throughput primary assay to identify inhibitors of Unc-51 Like Autophagy Activating Kinase 1 (ULK1).,AlphaScreen-based biochemical high throughput primary assay to identify inhibitors of Unc-51 Like Autophagy Activating Kinase 1 (ULK1).,0.6075240699852469
Antagonist activity at human ADRA2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human ADRA2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Antagonist activity at human CHRM2 in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human CHRM2 in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Antagonist activity at human HRH1 in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human HRH1 in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Antagonist activity at human HTR1A in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human HTR1A in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Antagonist activity at human HTR2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human HTR2A in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Antagonist activity at human HTR2B in an in vitro cell-based assay measured by fluorescent imaging plate reader,Antagonist activity at human HTR2B in an in vitro cell-based assay measured by fluorescent imaging plate reader,0.0
Binding affinity towards human ADORA3 in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human ADORA3 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human ADRA1A in an in vitro assay with cellular components (NIBR assay) measured by scintillation proximity assay,Binding affinity towards human ADRA1A in an in vitro assay with cellular components (NIBR assay) measured by scintillation proximity assay,0.0
Binding affinity towards human ADRA2B in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human ADRA2B in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human ADRB2 in an in vitro assay with cellular components measured by radioactivity method,Binding affinity towards human ADRB2 in an in vitro assay with cellular components measured by radioactivity method,0.0
Binding affinity towards human ADRB3 in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human ADRB3 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human AGTR1 in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human AGTR1 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human CHRM3 in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human CHRM3 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human CNR1 in an in vitro assay with cellular components measured by membrane filtration,Binding affinity towards human CNR1 in an in vitro assay with cellular components measured by membrane filtration,0.0
"Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay","Binding affinity towards human DRD2 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",0.0
Binding affinity towards human ESR1 in an in vitro cell free assay (NIBR assay) measured by fluorescence polarization method,Binding affinity towards human ESR1 in an in vitro cell free assay (NIBR assay) measured by fluorescence polarization method,0.0
Binding affinity towards human GHSR in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human GHSR in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human HRH1 in an in vitro assay measured by filtration,Binding affinity towards human HRH1 in an in vitro assay measured by filtration,0.0
Binding affinity towards human HRH2 in an in vitro assay with cellular components measured by membrane filtration,Binding affinity towards human HRH2 in an in vitro assay with cellular components measured by membrane filtration,0.0
Binding affinity towards human HTR2A in an in vitro assay with cellular components measured by membrane filtration,Binding affinity towards human HTR2A in an in vitro assay with cellular components measured by membrane filtration,0.0
Binding affinity towards human HTR2B in an in vitro assay with cellular components measured by membrane filtration,Binding affinity towards human HTR2B in an in vitro assay with cellular components measured by membrane filtration,0.0
Binding affinity towards human HTR2C in an in vitro assay with cellular components measured by radioactivity method,Binding affinity towards human HTR2C in an in vitro assay with cellular components measured by radioactivity method,0.0
Binding affinity towards human MC3R in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human MC3R in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
Binding affinity towards human MLNR in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human MLNR in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
"Binding affinity towards human NR3C1 in an in vitro cell free assay measured by filtration, radioactivity method","Binding affinity towards human NR3C1 in an in vitro cell free assay measured by filtration, radioactivity method",0.0
Binding affinity towards human OPRD1 in an in vitro assay with cellular components measured by scintillation proximity assay,Binding affinity towards human OPRD1 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
"Binding affinity towards human OPRK1 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay","Binding affinity towards human OPRK1 in an in vitro assay with cellular components measured by membrane filtration, scintillation proximity assay",0.0
Binding affinity towards rat Ar in an in vitro cell free assay measured by fluorescence polarization method,Binding affinity towards rat Ar in an in vitro cell free assay measured by fluorescence polarization method,0.0
CCRIS mutagenicity studies,CCRIS mutagenicity studies,0.1415148819701421
"Compound was evaluated for inhibition of human ABCB11 in an in vitro assay with cellular components measured by filtration, liquid scintillation counting","Compound was evaluated for inhibition of human ABCB11 in an in vitro assay with cellular components measured by filtration, liquid scintillation counting",0.0
Compound was evaluated for inhibition of human ADRA2C in an in vitro assay with cellular components measured by membrane filtration,Compound was evaluated for inhibition of human ADRA2C in an in vitro assay with cellular components measured by membrane filtration,0.0
Compound was evaluated for inhibition of human ADRB1 in an in vitro assay measured by radioactivity method,Compound was evaluated for inhibition of human ADRB1 in an in vitro assay measured by radioactivity method,0.0
Compound was evaluated for inhibition of human CHRM1 in an in vitro assay with cellular components measured by scintillation proximity assay,Compound was evaluated for inhibition of human CHRM1 in an in vitro assay with cellular components measured by scintillation proximity assay,0.0
"Compound was evaluated for inhibition of human HTR3A in an in vitro assay with cellular components measured by membrane filtration, radioactivity method","Compound was evaluated for inhibition of human HTR3A in an in vitro assay with cellular components measured by membrane filtration, radioactivity method",0.0
Compound was evaluated for inhibition of human PDE4D in an in vitro cell free assay measured by scintillation proximity assay,Compound was evaluated for inhibition of human PDE4D in an in vitro cell free assay measured by scintillation proximity assay,0.0
Compound was evaluated for inhibition of human PTGS2 in an in vitro cell free assay measured by fluorescence spectroscopy,Compound was evaluated for inhibition of human PTGS2 in an in vitro cell free assay measured by fluorescence spectroscopy,0.0
Compound was evaluated for inhibition of rat Cacna1c in an in vitro assay with cellular components measured by membrane filtration,Compound was evaluated for inhibition of rat Cacna1c in an in vitro assay with cellular components measured by membrane filtration,0.0
Compound was evaluated for inhibition of rat Gabra1 in an in vitro assay with cellular components measured by membrane filtration,Compound was evaluated for inhibition of rat Gabra1 in an in vitro assay with cellular components measured by membrane filtration,0.0
Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,Compound was evaluated for inhibition of rat Ptgs1 in an in vitro cell free assay measured by fluorescence spectroscopy,0.0
Cytotoxicity against human A549 cells after 72 hrs by MTT assay,Cytotoxicity against human A549 cells after 72 hrs by MTT assay,0.0
DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA),DRUGMATRIX: Adenosine A2A radioligand binding (ligand: AB-MECA),0.0
DRUGMATRIX: Adenosine A3 radioligand binding (ligand: AB-MECA),DRUGMATRIX: Adenosine A3 radioligand binding (ligand: AB-MECA),0.0
DRUGMATRIX: Adrenergic Alpha-2C radioligand binding (ligand: [3H] MK-912),DRUGMATRIX: Adrenergic Alpha-2C radioligand binding (ligand: [3H] MK-912),0.0
DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),0.0
DRUGMATRIX: Adrenergic beta2 radioligand binding (ligand: [3H] CGP2177),DRUGMATRIX: Adrenergic beta2 radioligand binding (ligand: [3H] CGP2177),0.0
DRUGMATRIX: Adrenergic beta3 radioligand binding (ligand: [125I] Cyanopindolol),DRUGMATRIX: Adrenergic beta3 radioligand binding (ligand: [125I] Cyanopindolol),0.0
DRUGMATRIX: Aldose Reductase enzyme inhibition (substrate: DL-Glyceraldehyde),DRUGMATRIX: Aldose Reductase enzyme inhibition (substrate: DL-Glyceraldehyde),0.0
DRUGMATRIX: AlphaA adrenergic receptor radioligand binding (ligand: prazosin),DRUGMATRIX: AlphaA adrenergic receptor radioligand binding (ligand: prazosin),0.0
DRUGMATRIX: AlphaB adrenergic receptor radioligand binding (ligand: prazosin),DRUGMATRIX: AlphaB adrenergic receptor radioligand binding (ligand: prazosin),0.0
DRUGMATRIX: AlphaD adrenergic receptor radioligand binding (ligand: prazosin),DRUGMATRIX: AlphaD adrenergic receptor radioligand binding (ligand: prazosin),0.0
DRUGMATRIX: Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912),DRUGMATRIX: Alpha-2A adrenergic receptor radioligand binding (ligand: MK-912),0.0
DRUGMATRIX: Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine),DRUGMATRIX: Alpha-2B adrenergic receptor radioligand binding (ligand: Rauwolscine),0.0
DRUGMATRIX: Androgen (Testosterone) AR radioligand binding (ligand: [3H] Mibolerone),DRUGMATRIX: Androgen (Testosterone) AR radioligand binding (ligand: [3H] Mibolerone),0.0
"DRUGMATRIX: CYP450, 1A2 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","DRUGMATRIX: CYP450, 1A2 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",0.0
"DRUGMATRIX: CYP450, 2C19 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","DRUGMATRIX: CYP450, 2C19 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",0.0
"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",0.0
"DRUGMATRIX: CYP450, 2D6 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)","DRUGMATRIX: CYP450, 2D6 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",0.0
"DRUGMATRIX: CYP450, 3A4 enzyme inhibition (substrate: 7-Benzyloxy-4-(trifluoromethyl)-coumarin)","DRUGMATRIX: CYP450, 3A4 enzyme inhibition (substrate: 7-Benzyloxy-4-(trifluoromethyl)-coumarin)",0.0
"DRUGMATRIX: Calcium Channel Type L, Benzothiazepine radioligand binding (ligand: [3H] Diltiazem)","DRUGMATRIX: Calcium Channel Type L, Benzothiazepine radioligand binding (ligand: [3H] Diltiazem)",0.0
